id	auction house
1	Christie's
2	Foster's
3	Robinson and Fisher
4	Mr. Christie
5	Greenwood
6	Phillips
7	A Committee at Christie's
8	Peter Coxe
9	Private Sale
10	Great Room, King Street
11	H. Phillips
12	Coxe, Burrell and Foster
13	Mr. Greenwood
14	Morrison & Co.
15	Denew and Dawson
16	Skinner
17	Knight, F. & R.
18	Capes, Dunn and Pilcher
19	Mr. Walsh
20	Robins
21	Cock
22	Mr. Blyth
23	Mr. Richards
24	Paris
25	Prestage
26	Own Exhibition
27	Langford's
28	Christie and Ansell
29	Sotheby's
30	Hickman
31	Foster & Son
32	S. L. Sotheby
33	Squibb
34	Stanley
35	Winstanley
36	Walsh, Clayton and Parys
37	Brown & Rose
38	Clayton & Parys
39	Branch
40	Town Hall, L'pl.
41	E. Foster
42	Rainy
43	Southgate and Barrett
44	Skinner and Dyke
45	English & Son
46	Sedelmeyer, Paris
47	Littledale of Dublin
48	Walton Preston
49	John Bernal
50	S.B. Clark & Son
51	Cooper's
52	Robinson and Hetley
53	Mr. Squibb
54	Trollope
55	Furber, P. & Co.
56	Exhibition
57	English & Co.
58	Branch & Leete
59	Hamnet & Co.
60	Arber, R. & Co.
61	E. & H. Lumley
62	Liotard Exhib.
63	Wilson
64	Nisbet of Gl'sg'w
65	Tooth & Tooth
66	Robinson
67	R. Bond & Son
68	Walker & Ack'ley
69	Christie, S. & H.
70	C. Furber
71	Farebrother
72	Deacon
73	York
74	L. Lesser.
75	Vernon of L'pl.
76	H
77	Mr. Murray
78	Joseph Saul
79	Glasgow Art U'n
80	Dowell of Edin.
81	JI
82	Hermon
83	Hampton & Son
84	Hampton's
85	Hutchins, W.&F.
86	Langford & Son
87	Shuttleworth
88	Griffiths of L'pl.
89	G. Robins
90	Ellis, M. & Co.
91	-
92	JJ
93	J*
94	Dowell
95	Lomax, S'ns & M.
96	Thos. E. Kirby
97	Arber & Wagh'n
98	B. Moulton
99	Smith, Son & Co.
100	Phillip, Son & Neale
101	Hennon
102	>)
