artist,year,monthday,auctionHouse,seller,artworkTitle,Measurements,purchaser,pounds,shillings,pence,target,index
Christie's,1876,6-Jan,Christie's,wynn Ellis,man seated in Quarry,m,moray,11,1,1,0,1
Mr. Christie,1876,6-Jan,Christie's,wynn Ellis,man seated in Quarry,m,moray,11,1,1,1,2
"REYNOLDS, Sir Joshua",1837,30-Jun,Christie's,Zachary,The Banished Lord,,,2,2,0,0,
"REYNOLDS, Sir Joshua",1890,19-Jul,Christie's,Young,20. Sir J. Reynolds in Spectacles. Presented to Dr. Thomas Young,,Bought in,120,15,0,0,
"REYNOLDS, Sir Joshua",1829,30-May,Christie's,Yatman,Children playing at Forfeitsbeing the family of the late Earl of Halifax,,Passed,105,0,0,0,
"MIERIS, Francis",1807,4-Jul,Mr. Christie,Yarmouth,0. Young Lady in Red Corset,,Bought in,409,10,0,1,
"NETSCHER, Gaspar",1808,Mar. 12,Mr. Christie,Yarmouth,0. Girl making Lace,,Bought in,152,5,0,1,
"NASMYTH, Patrick",1876,6-May,Christie's,Wynn Ellis,Woody LandscapeTwo Men and Dog.12x16,,Moray,420,0,0,0,
"NASMYTH, Patrick",1876,6-May,Christie's,Wynn Ellis,View in Northamptonshire.27x 39^,,Williams,682,10,0,0,
"MURILLO, Bartolom Estban",1876,17-Jun,Christie's,Wynn Ellis,Rufina J,,,,,,0,
"NASMYTH, Patrick",1876,6-May,Christie's,Wynn Ellis,Man seated in Quarry,,Agnew,147,0,0,0,
